id,tract,Geographic Area Name,"CTRUCA.Tract Population, 2010","CTRUCA.Land Area (square miles), 2010","CTRUCA.Population Density (per square mile), 2010",Rural Rank,POC population,percent,racialdiversitytable.percentile rank,racial diversity index,,,Composite Index (Income/Rural Rank/DI/Housing),rounded composite,,,,,Check composites with Mike; all 4 values?,,RUCA Codes
1400000US09001070600,9001070600,"Census Tract 706, Fairfield County, Connecticut",2445,0.690358797,3541.636625,1,525,20.5399061,0.753,4,,,4.5,5,,,,,,,
1400000US09001070900,9001070900,"Census Tract 709, Fairfield County, Connecticut",2584,0.170756776,15132.63523,1,888,30.76923077,0.894,5,,,5,5,,,,,,,
1400000US09001071000,9001071000,"Census Tract 710, Fairfield County, Connecticut",3563,0.443041435,8042.137189,1,1168,33.89437028,0.925,5,,,5,5,,,,,,,
1400000US09001071100,9001071100,"Census Tract 711, Fairfield County, Connecticut",4576,0.255891533,17882.57683,1,1300,26.32111764,0.848,5,,,5,5,,,,,,,
1400000US09001071200,9001071200,"Census Tract 712, Fairfield County, Connecticut",5205,0.214841536,24227.15876,1,1849,33.56935367,0.92,5,,,5,5,,,,,,,
1400000US09001071300,9001071300,"Census Tract 713, Fairfield County, Connecticut",3030,0.119666192,25320.4348,1,664,24.60170433,0.817,5,,,5,5,,,,,,,
1400000US09001071400,9001071400,"Census Tract 714, Fairfield County, Connecticut",3861,0.225877108,17093.36563,1,1007,27.72577093,0.867,5,,,5,5,,,,,,,
1400000US09001071600,9001071600,"Census Tract 716, Fairfield County, Connecticut",2448,0.066529652,36795.62317,1,565,21.67242041,0.78,4,,,4.5,5,,,,,,,
1400000US09001071900,9001071900,"Census Tract 719, Fairfield County, Connecticut",4831,0.190743741,25327.17445,1,1373,27.74297838,0.868,5,,,5,5,,,,,,,
1400000US09001072000,9001072000,"Census Tract 720, Fairfield County, Connecticut",3565,0.265603161,13422.28001,1,818,23.25184764,0.806,5,,,4.5,5,,,,,,,
1400000US09001072100,9001072100,"Census Tract 721, Fairfield County, Connecticut",6094,0.500587261,12173.70171,1,1196,22.89433384,0.801,5,,,4.5,5,,,,,,,
1400000US09001072200,9001072200,"Census Tract 722, Fairfield County, Connecticut",3828,0.348121304,10996.16701,1,728,18.74356334,0.721,4,,,4,4,,,,,,,
1400000US09001072300,9001072300,"Census Tract 723, Fairfield County, Connecticut",5396,0.354385426,15226.3598,1,1363,24.20959147,0.816,5,,,4,4,,,,,,,
1400000US09001072400,9001072400,"Census Tract 724, Fairfield County, Connecticut",2836,0.263953347,10744.32296,1,928,30.69798214,0.894,5,,,4.5,5,,,,,,,
1400000US09001072500,9001072500,"Census Tract 725, Fairfield County, Connecticut",5726,0.558085983,10260.06775,1,1147,20.22570975,0.754,4,,,4,4,,,,,,,
1400000US09001072600,9001072600,"Census Tract 726, Fairfield County, Connecticut",7583,1.166313126,6501.684524,1,905,12.33810498,0.516,3,,,3.5,4,,,,,,,
1400000US09001072700,9001072700,"Census Tract 727, Fairfield County, Connecticut",3726,0.692672321,5379.166867,1,773,19.90728818,0.75,4,,,3.5,4,,,,,,,
1400000US09001072800,9001072800,"Census Tract 728, Fairfield County, Connecticut",5469,0.578137428,9459.688542,1,1924,34.30813124,0.93,5,,,5,5,,,,,,,
1400000US09001072900,9001072900,"Census Tract 729, Fairfield County, Connecticut",4594,0.79469596,5780.827173,1,979,21.53541575,0.784,4,,,3.5,4,,,,,,,
1400000US09001073000,9001073000,"Census Tract 730, Fairfield County, Connecticut",1899,0.467589039,4061.258587,1,432,20.53231939,0.766,4,,,3.5,4,,,,,,,
1400000US09001073100,9001073100,"Census Tract 731, Fairfield County, Connecticut",5853,1.270676158,4606.209037,1,1768,29.10767204,0.874,5,,,5,5,,,,,,,
1400000US09001073200,9001073200,"Census Tract 732, Fairfield County, Connecticut",2460,0.151589892,16227.99499,1,677,25.12059369,0.834,5,,,5,5,,,,,,,
