Census Tract,Town,Distressed Tract,CLM $ Collected ,% of Total CLM $ Collected ,Incentive Disbursements,% of Total Incentive Disbursements,Residential CLM $ Collected,% of Total Residential CLM $ Collected,Residential Incentive Disbursements,% of Total Residential Incentive Disbursements ,C&I CLM $ Collected,% of Total C&I CLM $ Collected,C&I Incentive Disbursements,% of TotalC&I Incentive Disbursements ,Census Tract,
9009180601,East  Haven,No,"$69,631.85 ",0.002422176,"$53,516.82 ",0.002771902,"$57,562.60 ",0.20%,"$20,707.82 ",0.11%,"$12,069.25 ",0.04%,"$32,809.00 ",0.17%,09009180601,
9009180602,East  Haven,No,"$82,221.33 ",0.002860107,"$51,424.40 ",0.002663525,"$77,632.44 ",0.27%,"$34,292.40 ",0.18%,"$4,588.89 ",0.02%,"$17,132.00 ",0.09%,09009180602,
9009186100,East  Haven,No,$161.24 ,0.000005609,$624.28 ,0.000032335,$161.24 ,0.00%,$624.28 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009186100,
9009361500,East  Haven,No,$35.09 ,0.000001221,$70.00 ,0.000003626,$35.09 ,0.00%,$70.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009361500,
9001055100,Easton,No,$423.68 ,0.000014738,$0.00 ,0,$423.68 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001055100,
9001055200,Easton,No,$761.59 ,0.000026492,$0.00 ,0,$761.59 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001055200,
9001060300,Easton,No,$177.86 ,0.000006187,"$1,235.00 ",0.000063967,$177.86 ,0.00%,"$1,235.00 ",0.01%,$0.00 ,0.00%,$0.00 ,0.00%,09001060300,
9001105100,Easton,No,"$122,158.25 ",0.004249331,"$53,787.77 ",0.002785935,"$117,444.94 ",0.41%,"$51,722.77 ",0.27%,"$4,713.31 ",0.02%,"$2,065.00 ",0.01%,09001105100,
9001105200,Easton,No,"$112,209.56 ",0.003903261,"$33,644.05 ",0.001742592,"$105,415.73 ",0.37%,"$30,004.05 ",0.16%,"$6,793.83 ",0.02%,"$3,640.00 ",0.02%,09001105200,
9001240200,Easton,No,"$1,623.43 ",0.000056472,$0.00 ,0,"$1,623.43 ",0.01%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001240200,
9001060100,Fairfield,No,"$75,146.85 ",0.002614018,"$32,141.86 ",0.001664786,"$63,222.96 ",0.22%,"$28,861.86 ",0.15%,"$11,923.89 ",0.04%,"$3,280.00 ",0.02%,09001060100,
9001060200,Fairfield,No,"$110,510.06 ",0.003844143,"$50,477.85 ",0.002614498,"$88,194.79 ",0.31%,"$41,765.85 ",0.22%,"$22,315.28 ",0.08%,"$8,712.00 ",0.05%,09001060200,
9001060300,Fairfield,No,"$109,166.80 ",0.003797417,"$30,024.32 ",0.001555108,"$102,804.83 ",0.36%,"$29,234.32 ",0.15%,"$6,361.96 ",0.02%,$790.00 ,0.00%,09001060300,
9001060400,Fairfield,No,"$191,700.61 ",0.006668394,"$25,154.61 ",0.001302882,"$177,184.84 ",0.62%,"$19,661.31 ",0.10%,"$14,515.77 ",0.05%,"$5,493.30 ",0.03%,09001060400,
9001060500,Fairfield,No,"$88,292.56 ",0.003071297,"$3,468.85 ",0.000179669,"$78,848.92 ",0.27%,"$3,468.85 ",0.02%,"$9,443.64 ",0.03%,$0.00 ,0.00%,09001060500,
9001060600,Fairfield,No,"$117,619.15 ",0.004091436,"$46,714.59 ",0.00241958,"$78,648.51 ",0.27%,"$8,688.59 ",0.05%,"$38,970.64 ",0.14%,"$38,026.00 ",0.20%,09001060600,
9001060700,Fairfield,No,"$127,082.63 ",0.004420627,"$8,018.07 ",0.000415296,"$110,413.50 ",0.38%,"$8,683.30 ",0.05%,"$16,669.13 ",0.06%,($665.23),0.00%,09001060700,
9001060800,Fairfield,No,"$46,985.88 ",0.001634425,"$4,465.29 ",0.00023128,"$44,270.54 ",0.15%,"$4,465.29 ",0.02%,"$2,715.34 ",0.01%,$0.00 ,0.00%,09001060800,
9001060900,Fairfield,No,"$53,824.12 ",0.001872297,"$19,803.72 ",0.001025733,"$53,740.85 ",0.19%,"$19,803.72 ",0.10%,$83.27 ,0.00%,$0.00 ,0.00%,09001060900,
9001061000,Fairfield,No,"$140,615.78 ",0.004891384,"$118,704.64 ",0.006148302,"$81,016.26 ",0.28%,"$30,535.82 ",0.16%,"$59,599.52 ",0.21%,"$88,168.82 ",0.46%,09001061000, 
9001061100,Fairfield,No,"$85,705.46 ",0.002981304,"$18,575.17 ",0.0009621,"$80,179.52 ",0.28%,"$18,375.17 ",0.10%,"$5,525.93 ",0.02%,$200.00 ,0.00%,09001061100,
9001061200,Fairfield,No,"$38,508.71 ",0.001339543,"$4,829.11 ",0.000250124,"$36,662.93 ",0.13%,"$3,829.11 ",0.02%,"$1,845.79 ",0.01%,"$1,000.00 ",0.01%,09001061200,
9001061300,Fairfield,No,"$72,981.55 ",0.002538697,"$16,272.63 ",0.00084284,"$52,919.63 ",0.18%,"$7,314.63 ",0.04%,"$20,061.92 ",0.07%,"$8,958.00 ",0.05%,09001061300,
9001061400,Fairfield,No,"$108,076.11 ",0.003759477,"$13,206.39 ",0.000684024,"$48,670.07 ",0.17%,"$6,831.84 ",0.04%,"$59,406.04 ",0.21%,"$6,374.55 ",0.03%,09001061400,
9001061500,Fairfield,No,"$198,566.75 ",0.006907235,"$13,565.19 ",0.000702608,"$112,903.06 ",0.39%,"$10,235.25 ",0.05%,"$85,663.69 ",0.30%,"$3,329.94 ",0.02%,09001061500,
9001061600,Fairfield,No,"$183,248.92 ",0.006374398,"$16,120.14 ",0.000834942,"$123,018.96 ",0.43%,"$8,867.14 ",0.05%,"$60,229.96 ",0.21%,"$7,253.00 ",0.04%,09001061600,
9001070100,Fairfield,Yes,$8.42 ,0.000000293,$0.00 ,0,$0.00 ,0.00%,$0.00 ,0.00%,$8.42 ,0.00%,$0.00 ,0.00%,09001070100,
9001105100,Fairfield,No,$178.69 ,0.000006216,$0.00 ,0,$178.69 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09001105100,
9009141300,Hamden,Yes,$322.30 ,0.000011211,$70.00 ,0.000003626,$299.47 ,0.00%,$70.00 ,0.00%,$22.83 ,0.00%,$0.00 ,0.00%,09009141300,
9009141500,Hamden,Yes,$34.22 ,0.00000119,$0.00 ,0,$34.22 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,$0.00 ,0.00%,09009141500,
9009141800,Hamden,No,$435.18 ,0.000015138,$35.00 ,0.000001813,$429.49 ,0.00%,$35.00 ,0.00%,$5.69 ,0.00%,$0.00 ,0.00%,09009141800,
9009165100,Hamden,No,"$95,979.52 ",0.003338692,"$27,019.70 ",0.001399484,"$68,719.96 ",0.24%,"$11,793.70 ",0.06%,"$27,259.57 ",0.10%,"$15,226.00 ",0.08%,09009165100,
9009165200,Hamden,No,"$61,626.49 ",0.002143706,"$31,130.40 ",0.001612398,"$52,603.11 ",0.18%,"$25,421.40 ",0.13%,"$9,023.38 ",0.03%,"$5,709.00 ",0.03%,09009165200,
